,status,walkscore,snapped_lat,snapped_lon,bike_score
144,1,19.0,47.5665,-122.1345,17.0
145,1,47.0,47.721,-122.331,60.0
146,1,41.0,47.6715,-122.184,48.0
147,1,2.0,47.622,-122.067,24.0
148,1,48.0,47.526,-122.286,43.0
149,1,82.0,47.667,-122.3265,88.0
150,1,33.0,47.703,-122.286,42.0
151,1,12.0,47.3475,-122.0265,33.0
152,1,78.0,47.6565,-122.3535,74.0
153,1,16.0,47.5335,-122.181,12.0
154,1,40.0,47.565,-121.899,35.0
155,1,43.0,47.7375,-122.301,59.0
156,1,37.0,47.382,-122.0325,31.0
157,1,64.0,47.574,-122.2875,63.0
158,1,23.0,47.313,-122.3535,40.0
159,1,94.0,40.761,-74.0385,48.0
160,1,46.0,47.4855,-122.355,16.0
161,1,7.0,47.565,-122.1045,18.0
162,1,19.0,47.5245,-122.1945,13.0
163,1,30.0,47.706,-122.283,60.0
164,1,1.0,47.4165,-121.95,25.0
165,1,53.0,47.7645,-122.337,69.0
166,1,93.0,47.667,-122.3085,91.0
167,1,21.0,47.7015,-122.283,41.0
168,1,85.0,47.685,-122.379,78.0
169,1,75.0,47.67,-122.2935,80.0
170,1,84.0,47.6775,-122.382,94.0
171,1,36.0,47.7165,-122.2815,50.0
172,1,54.0,40.719,-73.3725,44.0
173,1,10.0,47.6265,-122.025,37.0
174,1,22.0,47.478,-121.758,32.0
175,1,17.0,47.31,-122.283,34.0
176,1,37.0,47.37,-122.0175,44.0
177,1,4.0,47.709,-122.016,35.0
178,1,5.0,47.7105,-122.1195,15.0
179,1,6.0,47.7465,-122.136,16.0
180,1,20.0,47.37,-122.034,35.0
181,1,77.0,47.619,-122.289,69.0
182,1,77.0,47.6745,-122.289,70.0
183,1,28.0,47.361,-122.046,17.0
184,1,38.0,47.286,-122.2095,56.0
185,1,16.0,47.3745,-122.178,36.0
186,1,23.0,47.535,-121.8405,44.0
187,1,0.0,47.4345,-122.0835,
188,1,77.0,47.5665,-122.3685,81.0
189,1,42.0,47.493,-122.2545,21.0
190,1,45.0,47.688,-122.1765,54.0
191,1,46.0,47.562,-122.2755,65.0
192,1,15.0,47.664,-122.1315,48.0
193,1,1.0,47.328,-122.2605,21.0
194,1,33.0,47.532,-122.19,30.0
195,1,94.0,47.598,-122.31,69.0
196,1,26.0,41.1525,-95.949,23.0
197,1,61.0,47.5515,-122.31,50.0
198,1,84.0,47.6865,-122.313,97.0
199,1,89.0,47.202,-121.995,55.0
200,1,12.0,47.403,-122.1705,30.0
201,1,29.0,47.5095,-122.1705,12.0
202,1,90.0,47.631,-122.355,53.0
203,1,4.0,47.661,-122.0715,10.0
204,1,16.0,47.4585,-122.1615,15.0
205,1,76.0,47.5665,-122.3655,89.0
206,1,66.0,47.586,-122.2965,63.0
207,1,58.0,47.5455,-122.271,53.0
208,1,0.0,47.6115,-122.1165,24.0
209,1,27.0,47.6385,-122.211,33.0
