,status,walkscore,description,updated,logo_url,more_info_icon,more_info_link,ws_link,help_link,snapped_lat,snapped_lon,transit,bike
13,1,8.0,Car-Dependent,2023-02-09 08:03:51.987633,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.25768/lng=-122.19453/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.2575,-122.1945,"{'score': None, 'description': None, 'summary': None}","{'score': 26, 'description': 'Somewhat Bikeable'}"
14,1,42.0,Car-Dependent,2023-02-09 07:23:24.765496,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.291935/lng=-122.35801/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.292,-122.358,"{'score': None, 'description': None, 'summary': None}","{'score': 54, 'description': 'Bikeable'}"
15,1,81.0,Very Walkable,2023-02-09 03:24:48.183916,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.69469/lng=-122.34601/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.694,-122.346,"{'score': None, 'description': None, 'summary': None}","{'score': 74, 'description': 'Very Bikeable'}"
16,1,15.0,Car-Dependent,2023-02-09 04:38:02.821869,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.56202/lng=-122.184122/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.562,-122.184,"{'score': None, 'description': None, 'summary': None}","{'score': 39, 'description': 'Somewhat Bikeable'}"
17,1,82.0,Very Walkable,2023-02-09 04:00:03.158034,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.542445/lng=-122.389655/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.5425,-122.3895,"{'score': None, 'description': None, 'summary': None}","{'score': 73, 'description': 'Very Bikeable'}"
18,1,85.0,Very Walkable,2023-02-09 03:53:08.092816,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.66246/lng=-122.34841000000002/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.6625,-122.349,"{'score': None, 'description': None, 'summary': None}","{'score': 84, 'description': 'Very Bikeable'}"
19,1,81.0,Very Walkable,2023-02-09 03:37:21.165267,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.6638/lng=-122.33861/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.664,-122.3385,"{'score': None, 'description': None, 'summary': None}","{'score': 97, 'description': ""Biker's Paradise""}"
20,1,58.0,Somewhat Walkable,2023-02-09 04:29:33.023957,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.59924/lng=-122.14092/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.5995,-122.1405,"{'score': None, 'description': None, 'summary': None}","{'score': 62, 'description': 'Bikeable'}"
21,1,16.0,Car-Dependent,2023-02-09 07:46:26.468586,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.35706500000001/lng=-122.04067/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.3565,-122.04,"{'score': None, 'description': None, 'summary': None}","{'score': 37, 'description': 'Somewhat Bikeable'}"
22,1,87.0,Very Walkable,2023-02-09 07:48:30.855377,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.47536/lng=-122.20573/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.475,-122.205,"{'score': None, 'description': None, 'summary': None}","{'score': 32, 'description': 'Somewhat Bikeable'}"
23,1,0.0,Car-Dependent,2023-02-09 00:36:12.462783,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.77575/lng=-122.09139/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.7765,-122.091,,"{'score': 21, 'description': 'Somewhat Bikeable'}"
24,1,54.0,Somewhat Walkable,2023-02-09 03:23:37.017890,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.528585/lng=-122.38081499999998/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.529,-122.3805,"{'score': None, 'description': None, 'summary': None}","{'score': 56, 'description': 'Bikeable'}"
25,1,19.0,Car-Dependent,2023-02-09 07:51:13.954845,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.39947/lng=-122.20413/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.4,-122.2035,"{'score': None, 'description': None, 'summary': None}","{'score': 25, 'description': 'Somewhat Bikeable'}"
26,1,12.0,Car-Dependent,2023-02-09 04:08:03.230260,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.70876/lng=-122.02073/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.709,-122.0205,,"{'score': 32, 'description': 'Somewhat Bikeable'}"
27,1,16.0,Car-Dependent,2023-02-09 04:07:34.365571,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.61571/lng=-122.22399/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.616,-122.2245,,"{'score': 10, 'description': 'Somewhat Bikeable'}"
28,1,64.0,Somewhat Walkable,2023-02-09 03:37:48.766811,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.662625/lng=-122.359275/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.6625,-122.3595,"{'score': None, 'description': None, 'summary': None}","{'score': 66, 'description': 'Bikeable'}"
29,1,17.0,Car-Dependent,2023-02-09 04:41:08.458025,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.623335/lng=-122.112581/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.6235,-122.112,"{'score': None, 'description': None, 'summary': None}","{'score': 44, 'description': 'Somewhat Bikeable'}"
30,1,20.0,Car-Dependent,2023-02-09 07:49:57.661545,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.411835/lng=-122.20954/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.412,-122.2095,"{'score': None, 'description': None, 'summary': None}","{'score': 25, 'description': 'Somewhat Bikeable'}"
31,1,68.0,Somewhat Walkable,2023-02-09 03:47:57.701236,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.730855/lng=-122.343575/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.7315,-122.343,"{'score': None, 'description': None, 'summary': None}","{'score': 79, 'description': 'Very Bikeable'}"
32,1,61.0,Somewhat Walkable,2023-02-09 03:21:27.319205,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.73439000000001/lng=-122.290235/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.7345,-122.2905,,"{'score': 74, 'description': 'Very Bikeable'}"
33,1,30.0,Car-Dependent,2023-02-09 06:59:10.198787,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.483795/lng=-122.304085/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.484,-122.304,"{'score': None, 'description': None, 'summary': None}","{'score': 46, 'description': 'Somewhat Bikeable'}"
34,1,40.0,Car-Dependent,2023-02-08 23:57:41.690531,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.75102/lng=-122.33447/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.751,-122.334,"{'score': None, 'description': None, 'summary': None}","{'score': 43, 'description': 'Somewhat Bikeable'}"
