,month,mortgage_rate
269,June 2022,5.522
270,July 2022,5.4125
271,August 2022,5.2225
272,September 2022,6.112
273,October 2022,6.9
274,November 2022,6.805
275,December 2022,6.364
276,January 2023,6.2725
277,February 2023,6.2575
278,March 2023,6.6
